;Команда_1;Голы_1;Команда_2;Голы_2;xG_1;xG_2;Удары_1;Удары_2;Удары в створ_1;Удары в створ_2;Блок-но ударов_1;Блок-но ударов_2;Сейвы_1;Сейвы_2;Владение %_1;Владение %_2;Угловые_1;Угловые_2;Нарушения_1;Нарушения_2;Офсайды_1;Офсайды_2;Желтые карточки_1;Желтые карточки_2;Красные карточки_1;Красные карточки_2;Атаки_1;Атаки_2;Опасные атаки_1;Опасные атаки_2;Передачи_1;Передачи_2;Точность передач %_1;Точность передач %_2;Штрафные удары_1;Штрафные удары_2;Вбрасывания_1;Вбрасывания_2;Навесы_1;Навесы_2;Отборы_1;Отборы_2;Раунд;Дата;Время;Кэф_1;Кэф_х;Кэф_2;Градусы;Погода;Зрители;Дома_1;Дома_2;Таргет
0;Ростов;2;Оренбург;1;1.67;1.1;23.0;11.0;7.0;4.0;7.0;1.0;3.0;4.0;65.0;35.0;9.0;2.0;16.0;8.0;1.0;3.0;2.0;3.0;0.0;0.0;88.0;61.0;57.0;33.0;544.0;305.0;79.0;66.0;9.0;11.0;19.0;11.0;25.0;8.0;17.0;17.0;26;2024-04-29;12:45:00;2.36;3.41;3.34;19;переменная облачность;14680.0;1;0;1
1;ПФК Сочи;0;Факел;0;1.21;0.51;22.0;5.0;3.0;2.0;7.0;2.0;2.0;3.0;65.0;35.0;6.0;2.0;9.0;10.0;3.0;1.0;3.0;4.0;0.0;0.0;96.0;70.0;49.0;27.0;539.0;292.0;82.0;62.0;10.0;14.0;24.0;9.0;28.0;12.0;7.0;18.0;26;2024-04-29;10:30:00;2.15;3.18;4.25;15;небольшой дождь;5012.0;1;0;0
2;Рубин;1;Урал;1;0.85;1.3;5.0;12.0;3.0;4.0;0.0;4.0;3.0;2.0;41.0;59.0;4.0;5.0;17.0;14.0;1.0;2.0;2.0;4.0;0.0;0.0;64.0;86.0;37.0;51.0;358.0;504.0;66.0;77.0;13.0;14.0;17.0;12.0;9.0;21.0;11.0;11.0;26;2024-04-29;08:15:00;2.59;3.01;3.37;6;переменная облачность;8178.0;1;0;0
3;Крылья Советов;0;Краснодар;0;1.11;0.9;14.0;12.0;6.0;3.0;2.0;2.0;1.0;7.0;47.0;53.0;2.0;3.0;9.0;13.0;2.0;0.0;2.0;4.0;0.0;1.0;70.0;81.0;36.0;35.0;463.0;515.0;79.0;78.0;9.0;9.0;5.0;11.0;13.0;13.0;12.0;16.0;26;2024-04-29;06:00:00;3.51;3.42;2.28;6;переменная облачность;9689.0;1;0;0
4;Балтика;3;ЦСКА Москва;1;1.88;1.14;13.0;18.0;4.0;7.0;2.0;2.0;8.0;1.0;40.0;60.0;5.0;4.0;15.0;10.0;1.0;1.0;3.0;3.0;0.0;0.0;77.0;77.0;51.0;51.0;314.0;478.0;70.0;78.0;7.0;11.0;12.0;17.0;12.0;20.0;8.0;7.0;26;2024-04-28;14:30:00;2.66;3.41;2.89;20;солнечно;14046.0;1;0;1
5;Динамо Москва;1;Зенит;0;1.27;0.34;11.0;8.0;3.0;1.0;4.0;3.0;1.0;2.0;34.0;66.0;1.0;7.0;9.0;4.0;0.0;3.0;1.0;0.0;0.0;0.0;49.0;83.0;28.0;52.0;336.0;631.0;76.0;86.0;8.0;9.0;5.0;10.0;4.0;25.0;21.0;22.0;26;2024-04-28;12:15:00;3.84;3.65;2.08;8;солнечно;11340.0;1;0;1
6;Спартак;3;Локомотив Москва;2;2.23;1.12;22.0;17.0;7.0;7.0;8.0;7.0;6.0;4.0;50.0;50.0;4.0;10.0;11.0;10.0;1.0;3.0;2.0;0.0;0.0;0.0;53.0;51.0;34.0;30.0;409.0;398.0;83.0;80.0;8.0;12.0;11.0;14.0;15.0;19.0;11.0;16.0;26;2024-04-28;09:15:00;2.63;3.8;2.69;8;солнечно;20016.0;1;0;1
7;Ахмат;5;Пари НН;1;1.71;0.17;19.0;5.0;10.0;3.0;5.0;0.0;2.0;4.0;50.0;50.0;7.0;3.0;12.0;9.0;3.0;1.0;2.0;5.0;0.0;1.0;61.0;69.0;41.0;23.0;395.0;398.0;77.0;79.0;9.0;14.0;4.0;7.0;18.0;10.0;5.0;15.0;26;2024-04-28;07:00:00;1.93;3.63;4.51;16;местами дождь;5535.0;1;0;1
8;ЦСКА Москва;0;Спартак;0;0.26;0.37;9.0;7.0;2.0;3.0;1.0;1.0;3.0;2.0;46.0;54.0;5.0;4.0;14.0;6.0;1.0;0.0;1.0;1.0;0.0;0.0;72.0;72.0;48.0;34.0;394.0;468.0;74.0;78.0;7.0;16.0;15.0;25.0;17.0;10.0;22.0;10.0;21;2024-04-25;13:30:00;2.6;3.6;2.84;8;солнечно;18495.0;1;0;0
9;Ахмат;1;ПФК Сочи;0;0.71;0.19;10.0;6.0;3.0;4.0;2.0;1.0;4.0;3.0;34.0;66.0;3.0;2.0;11.0;15.0;0.0;2.0;2.0;1.0;0.0;0.0;89.0;96.0;45.0;44.0;309.0;624.0;61.0;81.0;18.0;11.0;14.0;5.0;17.0;11.0;14.0;16.0;21;2024-04-25;13:30:00;2.4;3.56;3.14;16;местами дождь;5790.0;1;0;1
10;Факел;0;Крылья Советов;1;0.37;0.73;13.0;9.0;4.0;3.0;2.0;2.0;2.0;4.0;54.0;46.0;8.0;4.0;10.0;15.0;3.0;1.0;2.0;1.0;0.0;0.0;64.0;42.0;44.0;24.0;417.0;363.0;70.0;69.0;16.0;13.0;25.0;21.0;23.0;14.0;20.0;12.0;21;2024-04-25;11:15:00;2.74;3.21;2.95;18;солнечно;10480.0;1;0;2
